,tweet#,user,tweet,cleanTweet,compound,positive,negative,neutral,cleancompound,cleanpositive,cleannegative,cleanneutral
14,14,@BBCWorld,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709,Kim Jong un s Beijing visit is considered a significant step in North Korea s preparation for talks agreed in princ,0.4404,0.196,0.0,0.804,0.4404,0.196,0.0,0.804
15,15,@BBCWorld,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89",North Korea s leader Kim Jong un has visited Beijing and held successful talks with Chinese leader X,0.5859,0.183,0.0,0.817,0.5859,0.202,0.0,0.798
16,16,@BBCWorld,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc,China confirms Kim Jong un visit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,17,@BBCWorld,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY,Fired Vancouver waiter case Are the French really rude,-0.7841,0.0,0.463,0.537,-0.7841,0.0,0.496,0.504
18,18,@BBCWorld,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y,RT BBC Exclusive interview with Sergei Skripal s niece I would really like to know how they are,0.5095,0.202,0.0,0.798,0.5095,0.235,0.0,0.765
19,19,@BBCWorld,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF",This smoking elephant in India is baffling experts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,20,@BBCWorld,Utah trooper hit by skidding car https://t.co/sgr0ZHWwX3,Utah trooper hit by skidding car,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,21,@BBCWorld,Kim in Beijing: Why Xi's still the one he needs to see https://t.co/PefHB8UprZ,Kim in Beijing Why Xi s still the one he needs to see,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,22,@BBCWorld,Trèbes attack: Paris ceremony for hero policeman Arnaud Beltrame https://t.co/6naeoAd4HT,Tr bes attack Paris ceremony for hero policeman Arnaud Beltrame,0.128,0.245,0.211,0.544,0.128,0.245,0.211,0.544
23,23,@BBCWorld,"Australia's indigenous languages have one source, study says https://t.co/7QoMFrTeBU",Australia s indigenous languages have one source study says,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,24,@BBCWorld,Tesla and Nvidia shares fall amid driverless car doubts https://t.co/ZvAPiF6wgd,Tesla and Nvidia shares fall amid driverless car doubts,0.0,0.177,0.177,0.645,0.0,0.193,0.193,0.614
25,25,@BBCWorld,Canada teen wins $1000 a week for life on 18th birthday https://t.co/NeTuIPmXby,Canada teen wins 1000 a week for life on 18th birthday,0.5719,0.27,0.0,0.73,0.5719,0.291,0.0,0.709
26,26,@BBCWorld,Alton Sterling: No charges in 2016 fatal police shooting https://t.co/ahSn5LVRLc,Alton Sterling No charges in 2016 fatal police shooting,-0.7783,0.0,0.527,0.473,-0.7783,0.0,0.565,0.435
27,27,@BBCWorld,N Korea's Kim Jong-un visits China's Xi https://t.co/SEc2LT35DA,N Korea s Kim Jong un visits China s Xi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28,28,@BBCWorld,"RT @BBCNewsAsia: Definitely not something you see every day. 🐘

A video of a 'smoking' wild elephant in India is baffling scientists and wi…",RT Definitely not something you see every day A video of a smoking wild elephant in India is baffling scientists and wi,0.4019,0.119,0.0,0.881,0.4019,0.124,0.0,0.876
29,29,@BBCWorld,"RT @BBCNewsAsia: Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour.

She was held…",RT Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour She was held,-0.4019,0.0,0.109,0.891,-0.4019,0.0,0.114,0.886
30,30,@BBCWorld,Letter from Africa: Will age be a factor in Zimbabwe's poll? https://t.co/4UunbFffbZ,Letter from Africa Will age be a factor in Zimbabwe s poll,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,31,@BBCWorld,The world's toughest place to study? https://t.co/JdkkQo8XtQ,The world s toughest place to study,-0.0772,0.0,0.178,0.822,-0.0772,0.0,0.206,0.794
32,32,@BBCWorld,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd,Can the ad industry persuade us to eat more vegetables,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,33,@BBCWorld,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc,5 pop songs you didn t know were about God,0.2732,0.208,0.0,0.792,0.2732,0.231,0.0,0.769
34,34,@BBCWorld,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709,Kim Jong un s Beijing visit is considered a significant step in North Korea s preparation for talks agreed in princ,0.4404,0.196,0.0,0.804,0.4404,0.196,0.0,0.804
35,35,@BBCWorld,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89",North Korea s leader Kim Jong un has visited Beijing and held successful talks with Chinese leader X,0.5859,0.183,0.0,0.817,0.5859,0.202,0.0,0.798
36,36,@BBCWorld,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc,China confirms Kim Jong un visit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,37,@BBCWorld,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY,Fired Vancouver waiter case Are the French really rude,-0.7841,0.0,0.463,0.537,-0.7841,0.0,0.496,0.504
38,38,@BBCWorld,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y,RT BBC Exclusive interview with Sergei Skripal s niece I would really like to know how they are,0.5095,0.202,0.0,0.798,0.5095,0.235,0.0,0.765
39,39,@BBCWorld,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF",This smoking elephant in India is baffling experts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40,40,@BBCWorld,Spy poisoning: 'I would really like to know how they are' https://t.co/6hK6i3Co1S,Spy poisoning I would really like to know how they are,-0.2516,0.168,0.229,0.603,-0.2516,0.191,0.26,0.548
41,41,@BBCWorld,Brazilian sports reporters tackle on-air groping https://t.co/MOxFd4yreE,Brazilian sports reporters tackle on air groping,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,42,@BBCWorld,"RT @BBCNews: Owl ring-bearer attacks best man at wedding... prompting hoots of laughter 🦉

https://t.co/DjhjEdoYhy https://t.co/2x3bedxedn",RT Owl ring bearer attacks best man at wedding prompting hoots of laughter,0.6705,0.332,0.13,0.538,0.6705,0.365,0.143,0.493
43,43,@BBCWorld,Nearly a million watch cat stuck up pole https://t.co/aw9PbAliF3,Nearly a million watch cat stuck up pole,-0.25,0.0,0.222,0.778,-0.25,0.0,0.25,0.75
44,44,@BBCWorld,"RT @BBCSport: Australia coach Darren Lehmann denied ball-tampering during the Ashes when questioned at Johannesburg airport by @danroan 

W…",RT Australia coach Darren Lehmann denied ball tampering during the Ashes when questioned at Johannesburg airport by W,-0.5106,0.0,0.202,0.798,-0.5106,0.0,0.223,0.777
45,45,@BBCWorld,"RT @richard_conway: Sanctions announced against the three players within 24 hours by Cricket Australia. 
A nation is incensed, a Prime Mini…",RT conway Sanctions announced against the three players within 24 hours by Cricket Australia A nation is incensed a Prime Mini,-0.4588,0.0,0.143,0.857,-0.4588,0.0,0.143,0.857
46,46,@BBCWorld,"I want to apologise to ""kids who love cricket and idolise the players"" - Cricket Australia boss James Sutherland on… https://t.co/evTGNOU23c",I want to apologise to kids who love cricket and idolise the players Cricket Australia boss James Sutherland on,0.7964,0.336,0.0,0.664,0.7964,0.351,0.0,0.649
47,47,@BBCWorld,"RT @richard_conway: Smith, Bancroft and Warner said to be only players with knowledge of ball tampering intentions... significant words in…",RT conway Smith Bancroft and Warner said to be only players with knowledge of ball tampering intentions significant words in,0.2023,0.087,0.0,0.913,0.2023,0.087,0.0,0.913
48,48,@BBCWorld,Russia fire: Protester spoke on the phone to dying wife https://t.co/YDLIjNDGNg,Russia fire Protester spoke on the phone to dying wife,-0.34,0.0,0.194,0.806,-0.34,0.0,0.211,0.789
49,49,@BBCWorld,"RT @bbctms: James Sutherland says only 3 people involved in ball tampering incident. 

Steve Smith, David Warner &amp; Cameron Bancroft. 

""Ser…",RT James Sutherland says only 3 people involved in ball tampering incident Steve Smith David Warner amp Cameron Bancroft Ser,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50,50,@BBCWorld,RT @richard_conway: Full statement from Cricket Australia: https://t.co/GqIh4ynYtE,RT conway Full statement from Cricket Australia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51,51,@BBCWorld,"Australia ball-tampering: Steve Smith, David Warner, Cameron Bancroft sent home https://t.co/gBTooWUkS4",Australia ball tampering Steve Smith David Warner Cameron Bancroft sent home,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
52,52,@BBCWorld,"RT @richard_conway: Cricket Australia to conduct review into conduct and culture of team.
Sanctions to be announced within 24 hours.",RT conway Cricket Australia to conduct review into conduct and culture of team Sanctions to be announced within 24 hours,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,53,@BBCWorld,"RT @richard_conway: Breaking:
Cricket Australia say Steve Smith, David Warner, Cameron Bancroft to leave South Africa tomorrow.
Head coach…",RT conway Breaking Cricket Australia say Steve Smith David Warner Cameron Bancroft to leave South Africa tomorrow Head coach,-0.0516,0.0,0.062,0.938,-0.0516,0.0,0.062,0.938
54,54,@BBCWorld,JWST: Hubble 'successor' faces new delay https://t.co/eXx0Vxqfb6,JWST Hubble successor faces new delay,-0.3182,0.0,0.277,0.723,-0.1027,0.232,0.28,0.488
55,55,@BBCWorld,France to lower school starting age from six to three https://t.co/Us998C0PsN,France to lower school starting age from six to three,-0.296,0.0,0.18,0.82,-0.296,0.0,0.196,0.804
56,56,@BBCWorld,William Strampel: Michigan supervisor of Larry Nassar arrested https://t.co/1dROZkhAjO,William Strampel Michigan supervisor of Larry Nassar arrested,-0.4767,0.0,0.279,0.721,-0.4767,0.0,0.307,0.693
57,57,@BBCWorld,Kemerovo fire: Who are the victims in the Russia leisure centre blaze? https://t.co/tX0BjbjBtL,Kemerovo fire Who are the victims in the Russia leisure centre blaze,-0.5719,0.0,0.299,0.701,-0.5719,0.0,0.32,0.68
58,58,@BBCWorld,"RT @BBC_HaveYourSay: Chicago superior? The phenomenon of the media-savvy slam-dunk nun
https://t.co/p6WqsUEDY7",RT HaveYourSay Chicago superior The phenomenon of the media savvy slam dunk nun,0.5423,0.241,0.0,0.759,0.2263,0.205,0.152,0.643
59,59,@BBCWorld,Kemerovo fire damage seen from inside gutted mall https://t.co/O75q4RgqPx,Kemerovo fire damage seen from inside gutted mall,-0.6808,0.0,0.444,0.556,-0.6808,0.0,0.483,0.517
60,60,@BBCWorld,"Twenty million Indians apply for 100,000 railway jobs https://t.co/DzmNwTG5wQ",Twenty million Indians apply for 100 000 railway jobs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
61,61,@BBCWorld,When is a diplomat really just a spy? https://t.co/b8C7t86gI5,When is a diplomat really just a spy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
62,62,@BBCWorld,Why bear cubs are spending longer with their mothers https://t.co/LabQd7LPk3,Why bear cubs are spending longer with their mothers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63,63,@BBCWorld,US teen author wins Astrid Lindgren prize https://t.co/X7PfD88XPo,US teen author wins Astrid Lindgren prize,0.7906,0.538,0.0,0.462,0.7906,0.583,0.0,0.417
64,64,@BBCWorld,Argentine government mocked over heterosexuality tweet https://t.co/Ve8pBTidUa,Argentine government mocked over heterosexuality tweet,-0.3182,0.0,0.277,0.723,-0.3182,0.0,0.315,0.685
65,65,@BBCWorld,".@NATO is reducing the size of the Russian mission to the organisation, in a ""strong message"" to Moscow after Salis… https://t.co/VKb4QKoy1a",is reducing the size of the Russian mission to the organisation in a strong message to Moscow after Salis,0.5106,0.148,0.0,0.852,0.5106,0.163,0.0,0.837
66,66,@BBCWorld,Kemerovo fire: Crowds direct fury at Putin https://t.co/kfzgKL64BQ,Kemerovo fire Crowds direct fury at Putin,-0.7269,0.0,0.504,0.496,-0.7269,0.0,0.55,0.45
67,67,@BBCWorld,"RT @BBCNews: ""I was on my own. Just trying to do my best""

Rob Grew - who helped in the aftermath of the Manchester Arena attack last year…",RT I was on my own Just trying to do my best Rob Grew who helped in the aftermath of the Manchester Arena attack last year,-0.3612,0.12,0.192,0.688,-0.3612,0.128,0.204,0.669
68,68,@BBCWorld,"It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t.co/DB917VJ2Fl",It s 50 years since the death of Yuri Gagarin the Russian cosmonaut who was the first man to travel into space,-0.5994,0.0,0.151,0.849,-0.5994,0.0,0.163,0.837
69,69,@BBCWorld,"Saying goodbye to 'hell on earth'

After weeks of heavy bombardment thousands of people are being bussed from Easte… https://t.co/2hpW6mVKE2",Saying goodbye to hell on earth After weeks of heavy bombardment thousands of people are being bussed from Easte,-0.6808,0.0,0.195,0.805,-0.6808,0.0,0.204,0.796
70,70,@BBCWorld,Census 2020: US adds controversial citizenship question https://t.co/NZh16MUPM5,Census 2020 US adds controversial citizenship question,-0.2023,0.0,0.205,0.795,-0.2023,0.0,0.231,0.769
71,71,@BBCWorld,Olivia de Havilland: Acting legend loses court battle over TV drama Feud https://t.co/TjsJ9zIHPc,Olivia de Havilland Acting legend loses court battle over TV drama Feud,-0.743,0.0,0.422,0.578,-0.743,0.0,0.448,0.552
72,72,@BBCWorld,This 98-year-old sports mascot nun is captivating Americans https://t.co/C6FSNOZQqi,This 98 year old sports mascot nun is captivating Americans,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
73,73,@BBCWorld,Uber barred from resuming Arizona self-drive trial https://t.co/YTVM9Z0xbM,Uber barred from resuming Arizona self drive trial,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
74,74,@BBCWorld,Mai Khoi: Vietnam detains activist singer after Europe tour https://t.co/x3ls91zSMd,Mai Khoi Vietnam detains activist singer after Europe tour,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
75,75,@BBCWorld,Stephane Audran: French actress dies at 85 https://t.co/ojweEMIH5N,Stephane Audran French actress dies at 85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
76,76,@BBCWorld,Eurovision-style scoring or new Cold War? https://t.co/uDPu5RHrFX,Eurovision style scoring or new Cold War,-0.5994,0.0,0.394,0.606,-0.5994,0.0,0.394,0.606
77,77,@BBCWorld,A mountain lion goes for a casual prowl through some homes in California. 🦁 https://t.co/iOXBdnaXRC,A mountain lion goes for a casual prowl through some homes in California,0.2023,0.141,0.0,0.859,0.2023,0.153,0.0,0.847
78,78,@BBCWorld,"RT @BBCBreaking: Fire crews were ""out of the loop"" and took two hours to attend after the Manchester Arena attack, a report says https://t.…",RT Fire crews were out of the loop and took two hours to attend after the Manchester Arena attack a report says,-0.6705,0.0,0.208,0.792,-0.6705,0.0,0.224,0.776
79,79,@BBCWorld,Nelson Mandela's golden hand casts sell for $10m in bitcoin https://t.co/4Pcaukiv2X,Nelson Mandela s golden hand casts sell for 10m in bitcoin,0.4939,0.242,0.0,0.758,0.4939,0.262,0.0,0.738
80,80,@BBCWorld,"RT @BBC_HaveYourSay: The debate online: Where were you for #BlackLivesMatter?
https://t.co/C8aCx0i91W",RT HaveYourSay The debate online Where were you for BlackLivesMatter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
81,81,@BBCWorld,"""Mad"" Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 🚀🌎 https://t.co/WSkHpfDAcc",Mad Mike Hughes flew his home made rocket to try and prove the earth is flat,0.0,0.0,0.0,1.0,-0.4939,0.0,0.176,0.824
82,82,@BBCWorld,Porn stars call for respect after spate of deaths https://t.co/fB8VVLFLBj,Porn stars call for respect after spate of deaths,0.4767,0.256,0.0,0.744,0.4767,0.279,0.0,0.721
83,83,@BBCWorld,Air New Zealand calls for drone legislation after near miss https://t.co/z9xU80ZNdo,Air New Zealand calls for drone legislation after near miss,-0.1531,0.0,0.138,0.862,-0.1531,0.0,0.151,0.849
84,84,@BBCWorld,Tiangong-1: Chinese space station may hit Earth 'in days' https://t.co/gbl4e9CBvS,Tiangong 1 Chinese space station may hit Earth in days,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85,85,@BBCWorld,Keith Raniere: Leader of Nxivm group charged with sex trafficking https://t.co/9aDhP2YhUu,Keith Raniere Leader of Nxivm group charged with sex trafficking,-0.2023,0.0,0.153,0.847,-0.2023,0.0,0.167,0.833
86,86,@BBCWorld,Justin Trudeau apologises for Canada Tsilhqot'in hangings https://t.co/dCObSz45ZO,Justin Trudeau apologises for Canada Tsilhqot in hangings,0.2023,0.205,0.0,0.795,0.2023,0.205,0.0,0.795
87,87,@BBCWorld,Finding closure in the Falkland Islands https://t.co/WqBmBCN1LU,Finding closure in the Falkland Islands,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
88,88,@BBCWorld,Going from slavery to being a millionaire https://t.co/cDww32MCeT,Going from slavery to being a millionaire,-0.7003,0.0,0.444,0.556,-0.7003,0.0,0.49,0.51
89,89,@BBCWorld,'Smoking' elephant in India baffles experts https://t.co/ciP6a0gr2z,Smoking elephant in India baffles experts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
90,90,@BBCWorld,Russia Kemerovo fire: Putin cites 'criminal negligence' https://t.co/JcMnGFEUce,Russia Kemerovo fire Putin cites criminal negligence,-0.7003,0.0,0.492,0.508,-0.7003,0.0,0.537,0.463
91,91,@BBCWorld,Mummy found in Egyptian coffin that was thought to be empty https://t.co/6pufGA6aHK,Mummy found in Egyptian coffin that was thought to be empty,-0.2023,0.0,0.141,0.859,-0.2023,0.0,0.153,0.847
92,92,@BBCWorld,Asia stocks follow US shares up as trade war fears ease https://t.co/jbl00g4Yad,Asia stocks follow US shares up as trade war fears ease,-0.4588,0.242,0.345,0.412,-0.4588,0.255,0.364,0.38
93,93,@BBCWorld,"Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously class… https://t.co/rThVYjYHr9",Scientists in Australia have discovered the remains of a mummy in a 2 500 year old coffin that was previously class,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
94,94,@BBCWorld,Mountain lion roams California backyards https://t.co/MdK4WoHdHJ,Mountain lion roams California backyards,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
95,95,@BBCWorld,DR Congo: How one village massacre unfolded https://t.co/p6yOicjleI,DR Congo How one village massacre unfolded,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
96,96,@BBCWorld,Anthony Wong: Hong Kong actor finds brothers after BBC report https://t.co/nKdB4DUm7Z,Anthony Wong Hong Kong actor finds brothers after BBC report,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
97,97,@BBCWorld,Flat-Earther launches DIY rocket https://t.co/DUqeiDpE67,Flat Earther launches DIY rocket,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,98,@BBCWorld,Spy poisoning: Australian PM condemns Russian 'recklessness' in UK https://t.co/KtbpyIfeqB,Spy poisoning Australian PM condemns Russian recklessness in UK,-0.7964,0.0,0.47,0.53,-0.7964,0.0,0.504,0.496
99,99,@BBCWorld,RT @BBCNewsAsia: Veteran Hong Kong actor Anthony Wong spent decades looking for the father who left him as child. https://t.co/f2WXL7vvfr…,RT Veteran Hong Kong actor Anthony Wong spent decades looking for the father who left him as child,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100,0,@CBSNews,In-N-Out Burger not amused by imposter CEO's online pranks https://t.co/yWw4YEduEn https://t.co/iqXZeOKGk1,In N Out Burger not amused by imposter CEO s online pranks,-0.3252,0.0,0.189,0.811,-0.3252,0.0,0.206,0.794
101,1,@CBSNews,"""I just killed my wife"": Mass. man admits baseball bat beating death, cops say https://t.co/Up3SRdudXm https://t.co/B6UqcRtlWT",I just killed my wife Mass man admits baseball bat beating death cops say,-0.8807,0.086,0.445,0.469,-0.8807,0.097,0.504,0.398
102,2,@CBSNews,Ohio cop disciplined after teen fatally shoots himself in police cruiser https://t.co/Takkr9cFCY https://t.co/QyvGIwVFPW,Ohio cop disciplined after teen fatally shoots himself in police cruiser,-0.6369,0.0,0.259,0.741,-0.6369,0.0,0.296,0.704
103,3,@CBSNews,Commentary: Could #MarchForOurLives be a setback for gun control? https://t.co/EEFQBZdlDq https://t.co/AHCSbHCPLT,Commentary Could MarchForOurLives be a setback for gun control,-0.34,0.0,0.211,0.789,-0.34,0.0,0.255,0.745
104,4,@CBSNews,Mom pleads guilty to killing toddler after he wet his bed https://t.co/wXx2ZImiRn https://t.co/U0JkrwMbAb,Mom pleads guilty to killing toddler after he wet his bed,-0.802,0.0,0.396,0.604,-0.802,0.0,0.444,0.556
105,5,@CBSNews,See Christina Aguilera's no-makeup look in Paper magazine https://t.co/0bLK45n9c7 https://t.co/FyAM5ZnUUY,See Christina Aguilera s no makeup look in Paper magazine,0.0,0.0,0.0,1.0,-0.296,0.0,0.216,0.784
106,6,@CBSNews,Jesse Wilson case: Skeletal remains ID'd as Ariz. boy who vanished in 2016 https://t.co/rr8hyNZiwT https://t.co/i2Xnn3B2FG,Jesse Wilson case Skeletal remains ID d as Ariz boy who vanished in 2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
107,7,@CBSNews,NRA confirms that it accepts foreign donations https://t.co/FeyKvaCsd4 https://t.co/vl5WzZB9i3,NRA confirms that it accepts foreign donations,0.3182,0.223,0.0,0.777,0.3182,0.277,0.0,0.723
108,8,@CBSNews,"Mother arrested after toddler, baby found dead in car seats https://t.co/FOQflwE9DM https://t.co/8JWokgVIkG",Mother arrested after toddler baby found dead in car seats,-0.8126,0.0,0.425,0.575,-0.8126,0.0,0.481,0.519
109,9,@CBSNews,Mega Millions winning numbers announced for $458 million jackpot https://t.co/XMywu6RiNj https://t.co/8fYqHTpGFQ,Mega Millions winning numbers announced for 458 million jackpot,0.5267,0.254,0.0,0.746,0.5267,0.298,0.0,0.702
110,10,@CBSNews,"""Extremely traumatic"": Missing woman found after 10 days stranded in snow https://t.co/HYxhACk7di https://t.co/hmSDJDxQMj",Extremely traumatic Missing woman found after 10 days stranded in snow,-0.3566,0.0,0.171,0.829,-0.7559,0.0,0.418,0.582
111,11,@CBSNews,"The brother of Stephon Clark, who was killed earlier this month by police, interrupted a community forum to discuss… https://t.co/2Km9YlEyP6",The brother of Stephon Clark who was killed earlier this month by police interrupted a community forum to discuss,-0.7717,0.0,0.283,0.717,-0.7717,0.0,0.295,0.705
112,12,@CBSNews,".@jmpalmieri said ""privacy"" was among the reasons the Clinton campaign chose not to accept Facebook's offer, as Tru… https://t.co/3J4DEbhBeS",said privacy was among the reasons the Clinton campaign chose not to accept Facebook s offer as Tru,-0.2924,0.0,0.108,0.892,-0.2924,0.0,0.12,0.88
113,13,@CBSNews,"Chinese space station falling: Chances of getting hit pretty ""slim,"" expert says, but ""not zero.""… https://t.co/GfyNUV0gdz",Chinese space station falling Chances of getting hit pretty slim expert says but not zero,0.296,0.197,0.073,0.73,0.296,0.208,0.077,0.714
114,14,@CBSNews,"""The system has failed us."" The family of Alton Sterling condemned the decision by prosecutors to not charge the tw… https://t.co/yP8Eu5mZBn",The system has failed us The family of Alton Sterling condemned the decision by prosecutors to not charge the tw,-0.7351,0.0,0.246,0.754,-0.7351,0.0,0.256,0.744
115,15,@CBSNews,"Jennifer Palmieri, former director of communications for Hillary Clinton's 2016 presidential campaign, joined CBSN… https://t.co/qVo63990fb",Jennifer Palmieri former director of communications for Hillary Clinton s 2016 presidential campaign joined CBSN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,16,@CBSNews,A registered sex offender convicted of raping and killing a 14-year-old Ohio girl has been sentenced to death.… https://t.co/gfAtlptZUk,A registered sex offender convicted of raping and killing a 14 year old Ohio girl has been sentenced to death,-0.9153,0.0,0.496,0.504,-0.9493,0.0,0.562,0.438
117,17,@CBSNews,"A fertility clinic outside Cleveland admitted the failure of its freezer system was far worse than first thought, a… https://t.co/HDKRU5D87E",A fertility clinic outside Cleveland admitted the failure of its freezer system was far worse than first thought a,-0.7184,0.059,0.269,0.672,-0.7184,0.064,0.294,0.642
